"EventType","Full Waveform"
"SampleRate","1024 sps"
"EventTime","11:56:39"
"EventDate","2026-06-10"
"TitleString1","COMUNIDADE DE LAGOA DO MEL"
"SerialNumber","UM22299"
"Calibration","February 11, 2026 by VMA LTDA"
"GpsDistance","1450.5 m"
"TranPPV","0.662 mm/s"
"VertPPV","0.567 mm/s"
"LongPPV","0.465 mm/s"
"TranZCFreq","23.3 Hz"
"VertZCFreq","32.0 Hz"
"LongZCFreq","28.4 Hz"
"PeakVectorSum","0.668 mm/s"
"MicPSPL","114.6 dB(L)"
"Tran","Vert","Long","MicL"
"0.000","0.000","-0.016","0.03"
"0.024","0.008","-0.008","0.08"
"-0.008","-0.008","-0.008","0.06"
